,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
0,11 PM,https://open.spotify.com/embed/track/7KbF6AdprOXEEHlsq11Z6d,spotify:track:7KbF6AdprOXEEHlsq11Z6d,74,Maluma,0.777,0.712,0.68,0.217,0.0,95.692,-4.84,0.277,0.091,0
1,how would you know,https://open.spotify.com/embed/track/6kH4hgCLFiVuP9JVQnAucy,spotify:track:6kH4hgCLFiVuP9JVQnAucy,35,second thoughts,0.556,0.88,0.815,0.00313,0.371,167.008,-4.14,0.0297,0.136,0
6,(Remember the Days of The) Old Schoolyard,https://open.spotify.com/embed/track/1a2fmmAAlGGxiUTDLM3ghL,spotify:track:1a2fmmAAlGGxiUTDLM3ghL,45,Yusuf / Cat Stevens,0.648,0.581,0.61,0.485,0.0,146.182,-8.684,0.0495,0.565,0
8,"Not Tonight (feat. Da Brat, Left Eye, Missy ""Misdemeanor"" Elliott and Angie Martinez) - Remix",https://open.spotify.com/embed/track/42OhQBFNIbMyxRGxyPOvQA,spotify:track:42OhQBFNIbMyxRGxyPOvQA,50,Lil' Kim,0.854,0.602,0.592,0.0689,0.0,99.429,-10.162,0.32,0.292,0
21,Fishing In The Dark,https://open.spotify.com/embed/track/3i5QyEUyXa9Y7lIklr5sWk,spotify:track:3i5QyEUyXa9Y7lIklr5sWk,71,Nitty Gritty Dirt Band,0.765,0.494,0.91,0.31,0.0,77.724,-7.348,0.0377,0.0836,0
41,Yashomati Maiya,https://open.spotify.com/embed/track/7p1jRpKUmhmaf1FB1JRQho,spotify:track:7p1jRpKUmhmaf1FB1JRQho,32,Sadhana Sargam,0.375,0.522,0.645,0.367,0.0,81.466,-8.714,0.0544,0.114,0
45,Egoistka,https://open.spotify.com/embed/track/5qVME9yp5IFWYfK2n3irxL,spotify:track:5qVME9yp5IFWYfK2n3irxL,33,Julia Pośnik,0.722,0.87,0.701,0.0297,0.0,124.991,-4.229,0.0371,0.0827,0
46,crush the window,https://open.spotify.com/embed/track/3Ui8Kf4tHf5FSSsJZUGb5b,spotify:track:3Ui8Kf4tHf5FSSsJZUGb5b,21,04 Limited Sazabys,0.548,0.964,0.649,0.000626,1.21e-06,98.12,-2.819,0.162,0.343,0
48,Rock & Roll - Full Length Version; 2015 Remaster,https://open.spotify.com/embed/track/1o6DclZHw0HomxXEQR1ijX,spotify:track:1o6DclZHw0HomxXEQR1ijX,57,The Velvet Underground,0.494,0.735,0.742,0.00401,3.14e-06,132.526,-8.347,0.0345,0.544,0
59,El Malo,https://open.spotify.com/embed/track/217bRMES4HVbPdUe8l8ECN,spotify:track:217bRMES4HVbPdUe8l8ECN,73,Aventura,0.812,0.506,0.701,0.143,0.0,125.941,-10.729,0.0533,0.132,0
60,You,https://open.spotify.com/embed/track/1xvnm1ufz1gjM3vOu9T8V5,spotify:track:1xvnm1ufz1gjM3vOu9T8V5,37,Mustard Plug,0.487,0.87,0.779,0.141,0.0024,171.554,-5.823,0.0839,0.0386,0
67,Brush Your Teeth,https://open.spotify.com/embed/track/3neIWarw2da7neX8fDMWsi,spotify:track:3neIWarw2da7neX8fDMWsi,13,Netflix Jr.,0.912,0.297,0.797,0.11,0.0,109.992,-16.076,0.1,0.272,0
68,FreeRider,https://open.spotify.com/embed/track/1JKg8ZhDLC3GDBqTGLfoAI,spotify:track:1JKg8ZhDLC3GDBqTGLfoAI,24,麗英,0.898,0.621,0.594,0.249,0.0,125.047,-6.708,0.274,0.194,0
71,I Want My Crown,https://open.spotify.com/embed/track/2a1BbbIpOE0YBxLgejQNDU,spotify:track:2a1BbbIpOE0YBxLgejQNDU,25,Eric Gales,0.707,0.687,0.936,0.029,0.000138,133.113,-4.728,0.0422,0.142,0
72,Time Chahida,https://open.spotify.com/embed/track/4NiXbLYDwnA93pAxOO9fw2,spotify:track:4NiXbLYDwnA93pAxOO9fw2,27,Sana Panesar,0.832,0.649,0.892,0.241,0.00057,149.784,-5.76,0.112,0.151,0
74,Caminar de Tu Mano (feat. Fonseca),https://open.spotify.com/embed/track/0IWBTieCc6wQZ0C4kCHP9q,spotify:track:0IWBTieCc6wQZ0C4kCHP9q,65,Río Roma,0.662,0.875,0.591,0.299,0.0,105.484,-4.954,0.0779,0.146,0
80,Hotel Room Service,https://open.spotify.com/embed/track/0OPyDgTRuIdCJ9B4bYSths,spotify:track:0OPyDgTRuIdCJ9B4bYSths,70,Pitbull,0.85,0.631,0.738,0.00684,0.000406,126.002,-8.401,0.227,0.0679,0
81,Jah Werx,https://open.spotify.com/embed/track/0epaptkWK7BHkHJheQJtZ4,spotify:track:0epaptkWK7BHkHJheQJtZ4,43,Susto,0.604,0.6,0.872,0.477,0.0847,85.003,-8.751,0.0386,0.0936,0
82,Verenna (Ivan Yaro),https://open.spotify.com/embed/track/1ehPUo1i2CYfbhLdyZTS9H,spotify:track:1ehPUo1i2CYfbhLdyZTS9H,38,P. Unnikrishnan,0.814,0.463,0.656,0.268,1.92e-05,97.991,-14.498,0.0787,0.139,0
84,"Yenu Helabeku - From ""Maleyali Jotheyali""",https://open.spotify.com/embed/track/6dp9RY5tOYNDxaN54pld6Z,spotify:track:6dp9RY5tOYNDxaN54pld6Z,6,Sonu Nigam,0.541,0.727,0.755,0.529,2.09e-05,82.964,-6.993,0.0383,0.32,0
91,"Ek Do Teen (From ""Baaghi 2"")",https://open.spotify.com/embed/track/6WGzckjnXgGvcTmCcETgIb,spotify:track:6WGzckjnXgGvcTmCcETgIb,49,Shreya Ghoshal,0.666,0.919,0.644,0.0491,5.73e-06,102.756,-5.389,0.0661,0.531,0
94,Sister Golden Hair,https://open.spotify.com/embed/track/5VSAonaAPhhGn0G7hMYwWK,spotify:track:5VSAonaAPhhGn0G7hMYwWK,69,America,0.441,0.547,0.716,0.13,0.000143,134.753,-12.222,0.0337,0.109,0
95,Missing You,https://open.spotify.com/embed/track/2Hw5F4S5TFmrpBoWXc2Awx,spotify:track:2Hw5F4S5TFmrpBoWXc2Awx,0,John Waite,0.728,0.665,0.755,0.0383,1.65e-06,103.016,-7.251,0.0249,0.0574,0
96,Jeena Hai Pyar Mein Jeena,https://open.spotify.com/embed/track/0lRh2iMr6OtugqoXOcVm1w,spotify:track:0lRh2iMr6OtugqoXOcVm1w,16,Vijay Benedict,0.713,0.858,0.74,0.323,5.47e-05,117.098,-10.11,0.112,0.0852,0
98,Conquistar El Planeta,https://open.spotify.com/embed/track/6cOGBvdT0RY3UUtEP7vRHs,spotify:track:6cOGBvdT0RY3UUtEP7vRHs,56,TIMØ,0.763,0.693,0.754,0.00536,0.0,127.995,-5.635,0.0322,0.268,0
99,Mama Mama,https://open.spotify.com/embed/track/5AwtoqLjbIa0kbbaYysQ5Z,spotify:track:5AwtoqLjbIa0kbbaYysQ5Z,37,Vijay Yesudas,0.772,0.859,0.406,0.4,0.000844,79.953,-4.281,0.113,0.0701,0
101,Queenish,https://open.spotify.com/embed/track/0kPZoWuMLkHAZv1k3fxk5a,spotify:track:0kPZoWuMLkHAZv1k3fxk5a,19,Soulé,0.893,0.69,0.606,0.024,3.74e-06,104.007,-5.435,0.0856,0.0485,0
105,Wear Your Crown,https://open.spotify.com/embed/track/5O1rcWnYuW86ZyBYd0x2Na,spotify:track:5O1rcWnYuW86ZyBYd0x2Na,26,Meryl Streep,0.721,0.909,0.94,0.0207,0.0,103.063,-6.011,0.0321,0.136,0
118,No Plans for Love (with Ne-Yo & Kent Jones),https://open.spotify.com/embed/track/5f2CDk3D2XX8XyL6kViwZI,spotify:track:5f2CDk3D2XX8XyL6kViwZI,48,D-Nice,0.803,0.889,0.671,0.129,0.00785,109.992,-3.698,0.0797,0.0374,0
122,Revolution,https://open.spotify.com/embed/track/3FkhhQ3raWD4sMZBttYqzq,spotify:track:3FkhhQ3raWD4sMZBttYqzq,40,Greentea Peng,0.703,0.693,0.789,0.117,0.000304,79.999,-6.85,0.168,0.0871,0
126,Waitin' On A Sunny Day,https://open.spotify.com/embed/track/7vIyudiO2Tr9hZ2yzfwQmx,spotify:track:7vIyudiO2Tr9hZ2yzfwQmx,59,Bruce Springsteen,0.584,0.82,0.869,0.0116,4.04e-05,106.055,-5.228,0.0271,0.0991,0
134,OOGA BOOGA!,https://open.spotify.com/embed/track/4gKWtJGlhxKKSyV65llt2G,spotify:track:4gKWtJGlhxKKSyV65llt2G,70,Ski Mask The Slump God,0.847,0.916,0.751,0.101,0.000766,104.018,-5.757,0.222,0.118,0
136,Shiva Shankara,https://open.spotify.com/embed/track/3RRAr1F7Oap2CwLE1q6nqD,spotify:track:3RRAr1F7Oap2CwLE1q6nqD,26,Purbayan Chatterjee,0.669,0.826,0.773,0.545,0.327,99.924,-7.5,0.0876,0.0996,0
138,Marlina,https://open.spotify.com/embed/track/4aqSBMVmU6mYvAnIbnyOHr,spotify:track:4aqSBMVmU6mYvAnIbnyOHr,32,Thomas Djorghi,0.649,0.886,0.738,0.0704,0.000209,96.999,-5.369,0.0397,0.137,0
144,A Dream Is A Wish Your Heart Makes,https://open.spotify.com/embed/track/6BZ6BVgYmCmzdzCpwBVSKh,spotify:track:6BZ6BVgYmCmzdzCpwBVSKh,45,Vinil,0.69,0.687,0.615,0.319,0.0,124.921,-6.084,0.0954,0.14,0
154,Thenmozhi,https://open.spotify.com/embed/track/4D53C23J5Ss8uqj57onLBb,spotify:track:4D53C23J5Ss8uqj57onLBb,52,Santhosh Narayanan,0.764,0.532,0.859,0.598,0.0,123.95,-5.979,0.0491,0.26,0
155,Vaalaakkaamal,https://open.spotify.com/embed/track/4SgcgMpMIXcV2iFmGnamgh,spotify:track:4SgcgMpMIXcV2iFmGnamgh,34,Gersson Edinbaro,0.763,0.872,0.887,0.144,0.0,139.964,-4.999,0.157,0.975,0
161,¿Dónde Están Corazón?,https://open.spotify.com/embed/track/0Ky9DFq4xtsIZQiI0d2fnG,spotify:track:0Ky9DFq4xtsIZQiI0d2fnG,54,Enrique Iglesias,0.738,0.675,0.801,0.0936,0.0,152.017,-5.511,0.0254,0.0725,0
164,So Cool,https://open.spotify.com/embed/track/4yHrnHRkY8ZEZUHPdsRno2,spotify:track:4yHrnHRkY8ZEZUHPdsRno2,45,SISTAR,0.75,0.944,0.921,0.0261,0.0,128.015,-2.635,0.0455,0.416,0
173,In Your Town,https://open.spotify.com/embed/track/0nSJRp4NjamAD4pyMkLFyd,spotify:track:0nSJRp4NjamAD4pyMkLFyd,33,Rory Gallagher,0.488,0.739,0.721,0.0349,0.000517,151.899,-10.843,0.036,0.378,0
178,The Adults Are Talking,https://open.spotify.com/embed/track/5ruzrDWcT0vuJIOMW7gMnW,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,78,The Strokes,0.593,0.749,0.649,0.0113,0.106,164.959,-5.67,0.0475,0.314,0
181,Dámelo,https://open.spotify.com/embed/track/6OyOEjszTYpiRlnH68J3Nu,spotify:track:6OyOEjszTYpiRlnH68J3Nu,57,Tiago PZK,0.756,0.667,0.503,0.375,0.00168,96.941,-4.462,0.0759,0.113,0
183,Girl You Need A Change Of Mind,https://open.spotify.com/embed/track/64bnTYBCQsHAsZUmA2JDH0,spotify:track:64bnTYBCQsHAsZUmA2JDH0,41,Eddie Kendricks,0.472,0.724,0.832,0.143,0.0148,104.035,-12.56,0.0405,0.285,0
185,Soraka Poove,https://open.spotify.com/embed/track/4BBDFDQp2mZpGv6vNM80Bp,spotify:track:4BBDFDQp2mZpGv6vNM80Bp,45,G. V. Prakash,0.52,0.633,0.71,0.153,0.0,109.856,-10.535,0.173,0.519,0
186,Booty (feat. Latto),https://open.spotify.com/embed/track/3Ca24oa8tofPtGYuULHXHI,spotify:track:3Ca24oa8tofPtGYuULHXHI,61,Saucy Santana,0.876,0.563,0.711,0.16,0.0,108.045,-6.035,0.171,0.365,0
192,O-o-h Child,https://open.spotify.com/embed/track/74JdR9aXE6I74oS1BVRsvb,spotify:track:74JdR9aXE6I74oS1BVRsvb,61,The Five Stairsteps,0.488,0.754,0.664,0.00154,2.42e-05,88.368,-7.95,0.0381,0.678,0
195,Sun Zara,https://open.spotify.com/embed/track/4WDazhZrsTXf86ewixNsrt,spotify:track:4WDazhZrsTXf86ewixNsrt,37,Jay Bhattacharya,0.824,0.844,0.672,0.193,0.105,125.017,-5.618,0.0474,0.116,0
196,Jorse Jorse,https://open.spotify.com/embed/track/0agx7SrnAXA1nxjUU8nW98,spotify:track:0agx7SrnAXA1nxjUU8nW98,50,"Daler Mehandi, Geetha Madhuri",0.758,0.828,0.748,0.348,0.000655,173.95,-7.426,0.354,0.0425,0
198,The Man Was Burning,https://open.spotify.com/embed/track/5X8hjt33EdQ8KUaUzcTNQv,spotify:track:5X8hjt33EdQ8KUaUzcTNQv,44,Jake Blount,0.703,0.513,0.889,0.426,0.000116,78.573,-7.246,0.183,0.157,0
199,Loco,https://open.spotify.com/embed/track/6C2oVz4VVcK8LJTWKhEfFn,spotify:track:6C2oVz4VVcK8LJTWKhEfFn,29,Mr. Jazzek,0.867,0.657,0.786,0.0939,4.29e-05,125.021,-6.155,0.0632,0.165,0
209,Body Water,https://open.spotify.com/embed/track/3LKnTJqisnDLNzaMBIxwCg,spotify:track:3LKnTJqisnDLNzaMBIxwCg,28,Mini Priest,0.803,0.741,0.789,0.0133,0.0,116.049,-6.443,0.0511,0.0729,0
210,This Is the End (For You My Friend),https://open.spotify.com/embed/track/1jvqZQtbBGK5GJCGT615ao,spotify:track:1jvqZQtbBGK5GJCGT615ao,55,Anti-Flag,0.546,0.875,0.765,0.0205,0.0,101.693,-3.631,0.0445,0.0669,0
213,Pulivahana,https://open.spotify.com/embed/track/0IDhwK1LiZ3jzM0RKsbEFN,spotify:track:0IDhwK1LiZ3jzM0RKsbEFN,13,Unnikrishnan,0.624,0.673,0.771,0.645,0.0,180.005,-8.554,0.153,0.0803,0
217,Teddy Bear,https://open.spotify.com/embed/track/4kSDi21MeOoSvpZs6MveI9,spotify:track:4kSDi21MeOoSvpZs6MveI9,74,STAYC,0.757,0.91,0.686,0.105,0.0,119.04,-3.953,0.0524,0.387,0
