,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
3,Die For You - Sped Up,https://open.spotify.com/embed/track/4LR9G3Vr27KaqrNm9aymBq,spotify:track:4LR9G3Vr27KaqrNm9aymBq,68,The Weeknd,0.556,0.543,0.431,0.0985,0.0,77.787,-6.808,0.131,0.186,3
4,Do Or Die (feat. Nathan James),https://open.spotify.com/embed/track/3LghS5iipA13F5iOJ8j0Gi,spotify:track:3LghS5iipA13F5iOJ8j0Gi,43,Sophie Lloyd,0.431,0.977,0.285,3.74e-05,1.86e-05,75.02,-4.208,0.11,0.0934,3
5,The Spectre,https://open.spotify.com/embed/track/2DGa7iaidT5s0qnINlwMjJ,spotify:track:2DGa7iaidT5s0qnINlwMjJ,71,Alan Walker,0.654,0.711,0.198,0.0214,0.00191,127.957,-7.437,0.0383,0.0903,3
9,ZIGZAG (feat. Alice Wonder),https://open.spotify.com/embed/track/71E5TGusp7CNoO3hkjiIUx,spotify:track:71E5TGusp7CNoO3hkjiIUx,27,GOMZ,0.661,0.34,0.224,0.279,0.000182,165.93,-11.21,0.106,0.128,3
12,High on Me,https://open.spotify.com/embed/track/4foH9ND72k3puEzoiHb1z8,spotify:track:4foH9ND72k3puEzoiHb1z8,55,Saliva,0.53,0.872,0.46,0.000194,0.00231,95.038,-6.203,0.0704,0.294,3
17,Into The Mystery,https://open.spotify.com/embed/track/7zUgIo1qgHuJ3LmeFxmqiN,spotify:track:7zUgIo1qgHuJ3LmeFxmqiN,52,NEEDTOBREATHE,0.405,0.633,0.273,0.00188,0.00864,169.989,-7.646,0.0285,0.236,3
19,Won’t Stand Down,https://open.spotify.com/embed/track/6hIr2IDeBDXfRFk0rYe5Tz,spotify:track:6hIr2IDeBDXfRFk0rYe5Tz,55,Muse,0.514,0.882,0.424,0.0043,2.52e-06,104.85,-4.406,0.0862,0.156,3
24,Thaalelo,https://open.spotify.com/embed/track/3ToI0B1j3IvPfr94FKB2sP,spotify:track:3ToI0B1j3IvPfr94FKB2sP,23,Chinmayi,0.381,0.583,0.367,0.322,0.00177,134.919,-9.057,0.0396,0.0929,3
31,City Of Love,https://open.spotify.com/embed/track/4mUJ5LUrEYm12deebNCZSA,spotify:track:4mUJ5LUrEYm12deebNCZSA,57,Surf Mesa,0.694,0.813,0.462,0.286,0.00071,123.992,-5.466,0.0785,0.127,3
32,Ojos Cerrados,https://open.spotify.com/embed/track/4qTncV5AzPvi7lo3Sb1MiM,spotify:track:4qTncV5AzPvi7lo3Sb1MiM,46,Natalie López,0.631,0.569,0.362,0.296,0.0,139.885,-6.134,0.0253,0.133,3
34,99 Red Balloons,https://open.spotify.com/embed/track/0rOTMSSa6yscfOrGnzfheM,spotify:track:0rOTMSSa6yscfOrGnzfheM,62,Goldfinger,0.285,0.843,0.282,0.00103,0.00037,97.051,-7.318,0.129,0.327,3
38,Double Back,https://open.spotify.com/embed/track/14DK4oWkwJVvzWZxWAGgrd,spotify:track:14DK4oWkwJVvzWZxWAGgrd,47,Coco Jones,0.687,0.54,0.152,0.22,0.0,80.019,-5.733,0.0741,0.133,3
39,Best Is Yet To Come (with Kyle Reynolds),https://open.spotify.com/embed/track/2gZwBmkSmsVfEPFWGuWTDk,spotify:track:2gZwBmkSmsVfEPFWGuWTDk,60,Gryffin,0.569,0.85,0.551,0.0148,0.0,122.042,-3.914,0.0369,0.245,3
47,Forever Yours,https://open.spotify.com/embed/track/16pngF7qRDnAkXt2FMuUdl,spotify:track:16pngF7qRDnAkXt2FMuUdl,41,Nightwish,0.192,0.372,0.039,0.114,1.37e-05,168.103,-11.449,0.0308,0.181,3
50,Kudukku,https://open.spotify.com/embed/track/3QRSs8nzHXXvcQjdnx0CsJ,spotify:track:3QRSs8nzHXXvcQjdnx0CsJ,60,Shaan Rahman,0.742,0.673,0.437,0.197,0.0,143.811,-8.048,0.0546,0.316,3
52,GILA GILA,https://open.spotify.com/embed/track/3LSALxSMhVUQoGN2zwxy1n,spotify:track:3LSALxSMhVUQoGN2zwxy1n,51,Awich,0.854,0.789,0.443,0.0307,0.0,132.02,-5.996,0.217,0.307,3
54,No Te Vayas,https://open.spotify.com/embed/track/587xp1Yt8CAPzbHsAuN5nD,spotify:track:587xp1Yt8CAPzbHsAuN5nD,42,Carlos Vives,0.622,0.923,0.539,0.0434,0.0,95.977,-3.321,0.0519,0.17,3
63,Ship Ahoy,https://open.spotify.com/embed/track/5GTd3l7ShrGaziT7kvnNnj,spotify:track:5GTd3l7ShrGaziT7kvnNnj,25,The O'Jays,0.51,0.747,0.384,0.381,0.00014,135.706,-9.985,0.149,0.878,3
65,circle the drain,https://open.spotify.com/embed/track/2drtd6SptpMJ1KylMQ7mrE,spotify:track:2drtd6SptpMJ1KylMQ7mrE,57,Soccer Mommy,0.482,0.79,0.47,0.303,0.00028,169.064,-5.221,0.038,0.1,3
69,AURA,https://open.spotify.com/embed/track/4jP982FpZoDv729D0X8BiN,spotify:track:4jP982FpZoDv729D0X8BiN,42,WJSN,0.773,0.793,0.47,0.193,0.0,119.969,-2.971,0.14,0.0719,3
