,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
7,Calma,https://open.spotify.com/embed/track/71JgPrqnNGa5tXCNQRSezU,spotify:track:71JgPrqnNGa5tXCNQRSezU,52,young.vishnu,0.68,0.635,0.495,0.159,0.929,79.054,-5.916,0.0726,0.132,1
14,Early Rio,https://open.spotify.com/embed/track/0rpf1OhSfp8hkOsFhONU0d,spotify:track:0rpf1OhSfp8hkOsFhONU0d,45,Screen Jazzmaster,0.76,0.561,0.681,0.733,0.847,83.008,-11.101,0.0559,0.108,1
15,Drifting in a Dream,https://open.spotify.com/embed/track/2AJ7yy7ulIXoDgLNMzjfbv,spotify:track:2AJ7yy7ulIXoDgLNMzjfbv,32,Kalmah,0.394,0.755,0.288,4.37e-05,0.89,128.002,-5.8,0.0446,0.298,1
27,Deck the Halls - Lo-Fi,https://open.spotify.com/embed/track/03cWzdHw0bWbHEv8wYgAzg,spotify:track:03cWzdHw0bWbHEv8wYgAzg,26,hope mona,0.781,0.283,0.673,0.491,0.814,80.03,-7.745,0.214,0.253,1
35,American Trilogy - Live,https://open.spotify.com/embed/track/6CT7j3vaqT3KlnZEetnQqW,spotify:track:6CT7j3vaqT3KlnZEetnQqW,42,Elvis Presley,0.301,0.393,0.204,0.265,0.834,89.711,-16.525,0.0441,0.964,1
37,Tempête printanière,https://open.spotify.com/embed/track/6WKm1ecd68hRHzvQ4geEcX,spotify:track:6WKm1ecd68hRHzvQ4geEcX,47,Thunder Phall,0.138,0.748,0.0191,0.00463,0.907,87.667,-30.011,0.149,0.98,1
49,Instigator,https://open.spotify.com/embed/track/6JC9CimuVsxAgnagjelfmL,spotify:track:6JC9CimuVsxAgnagjelfmL,20,Jon Faddis,0.453,0.437,0.509,0.0989,0.651,121.157,-13.398,0.113,0.041,1
83,1979,https://open.spotify.com/embed/track/3h5zik31hTTat9jmpCZZNC,spotify:track:3h5zik31hTTat9jmpCZZNC,57,The Smashing Pumpkins,0.768,0.782,0.964,0.021,0.683,127.042,-10.231,0.033,0.0802,1
104,Punk,https://open.spotify.com/embed/track/4bCi0lunxzHwpNKjEyaJk6,spotify:track:4bCi0lunxzHwpNKjEyaJk6,22,Nammy Wams,0.734,0.461,0.204,0.00868,0.708,141.969,-11.921,0.0577,0.0824,1
106,Oh Tannenbaum,https://open.spotify.com/embed/track/7HJEWwtoEwP0lGhaW0N81I,spotify:track:7HJEWwtoEwP0lGhaW0N81I,27,Gail Donovan,0.795,0.0697,0.699,0.323,0.842,56.094,-8.766,0.108,0.0805,1
