,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
2,Something to Say,https://open.spotify.com/embed/track/5DvEC80DSVY64U1X5L2dmz,spotify:track:5DvEC80DSVY64U1X5L2dmz,37,Lydia Luce,0.452,0.299,0.196,0.816,0.016,88.903,-15.457,0.0328,0.112,2
10,Abide With Me,https://open.spotify.com/embed/track/7qPYEUXACuFdUyywP24ZvO,spotify:track:7qPYEUXACuFdUyywP24ZvO,44,Jeff Laine & Co,0.534,0.0574,0.292,0.912,0.118,60.892,-18.266,0.0354,0.108,2
13,After Rain,https://open.spotify.com/embed/track/4UHKXKM0MFPED9V05lgC8C,spotify:track:4UHKXKM0MFPED9V05lgC8C,24,Morgan Coleman Quintet,0.267,0.144,0.0683,0.947,0.221,88.973,-18.503,0.0321,0.286,2
16,One Little Feeling,https://open.spotify.com/embed/track/14G8DeuH1VjEA9FKaWvPDg,spotify:track:14G8DeuH1VjEA9FKaWvPDg,27,Caitlin Jemma,0.447,0.235,0.314,0.894,0.0376,146.15,-13.823,0.0318,0.199,2
18,Alone Again,https://open.spotify.com/embed/track/7itlSXJ0hJCaUiVrftOjQT,spotify:track:7itlSXJ0hJCaUiVrftOjQT,25,Franky Bones,0.787,0.346,0.61,0.722,6.68e-05,129.831,-13.601,0.134,0.517,2
22,LONGO MAÏ,https://open.spotify.com/embed/track/2SWTWV2RScEMsSzDKbEySm,spotify:track:2SWTWV2RScEMsSzDKbEySm,33,Enchantée Julia,0.787,0.476,0.645,0.848,0.000927,134.019,-10.499,0.084,0.139,2
23,"Vesperae solennes de confessore, K. 339: V. Laudate Dominum",https://open.spotify.com/embed/track/7aHOmybSL7OvujPad7cBDW,spotify:track:7aHOmybSL7OvujPad7cBDW,50,Wolfgang Amadeus Mozart,0.109,0.0414,0.0367,0.988,0.114,82.111,-25.91,0.0482,0.106,2
29,Come Home To Me,https://open.spotify.com/embed/track/2K8elWg8ihrZRwZJ7Gy6L3,spotify:track:2K8elWg8ihrZRwZJ7Gy6L3,60,LÉON,0.66,0.193,0.296,0.953,0.0,82.035,-8.904,0.0725,0.0953,2
30,"It's Been A Long, Long Time",https://open.spotify.com/embed/track/14TmAdCnF2aR5OoguGZ2JA,spotify:track:14TmAdCnF2aR5OoguGZ2JA,55,Louis Armstrong,0.635,0.379,0.653,0.772,0.0,95.144,-10.382,0.049,0.0631,2
36,Maracas,https://open.spotify.com/embed/track/5Cf8MCD6NcYvy8RQL2khAS,spotify:track:5Cf8MCD6NcYvy8RQL2khAS,67,Joan Sebastian,0.737,0.549,0.491,0.582,8.09e-06,93.445,-9.968,0.0957,0.236,2
40,Saranam Ayyappa,https://open.spotify.com/embed/track/6s144HiHmCjrL8BbBBYgcG,spotify:track:6s144HiHmCjrL8BbBBYgcG,29,Pradeep Kumar,0.789,0.274,0.607,0.82,0.000212,120.048,-12.191,0.0377,0.18,2
51,Black Leaves,https://open.spotify.com/embed/track/2pcZglQR5vcE8z09qLaQoV,spotify:track:2pcZglQR5vcE8z09qLaQoV,67,KIRBY,0.66,0.254,0.393,0.783,0.0,136.186,-9.643,0.0454,0.362,2
53,Unforgettable,https://open.spotify.com/embed/track/2MVQbDuhVs2muWFURtIdNb,spotify:track:2MVQbDuhVs2muWFURtIdNb,61,Natalie Cole,0.286,0.288,0.142,0.85,0.000138,85.691,-13.369,0.028,0.0798,2
55,Doctor Blues,https://open.spotify.com/embed/track/2kPvNhSNpdw8wyMd3KM1qE,spotify:track:2kPvNhSNpdw8wyMd3KM1qE,19,Alberta Adams,0.582,0.571,0.475,0.75,0.0,134.294,-2.904,0.0349,0.176,2
70,Sweet Little Angel,https://open.spotify.com/embed/track/14DtWZA10VU7PZLxM5vO6g,spotify:track:14DtWZA10VU7PZLxM5vO6g,29,Big Mama Thornton,0.627,0.488,0.523,0.707,0.000707,81.15,-4.905,0.0636,0.0817,2
86,Paralogamae En Sonthame,https://open.spotify.com/embed/track/3qKaV8KOU81EoxCVTt34TL,spotify:track:3qKaV8KOU81EoxCVTt34TL,31,Ps. Alwin Thomas,0.59,0.392,0.313,0.908,0.001,120.474,-7.986,0.0322,0.146,2
87,Grown-Up Christmas List,https://open.spotify.com/embed/track/1h9QQ7e222OSr93MRiMqGZ,spotify:track:1h9QQ7e222OSr93MRiMqGZ,46,Jordan Smith,0.327,0.223,0.172,0.932,0.0,109.568,-8.975,0.0336,0.192,2
89,Captain Pugwash,https://open.spotify.com/embed/track/4a5zLY9nQrQRe6rerly7tX,spotify:track:4a5zLY9nQrQRe6rerly7tX,1,Johnny Pearson,0.768,0.33,0.69,0.61,0.158,96.487,-11.432,0.296,0.0422,2
92,Volcán,https://open.spotify.com/embed/track/1eDK4TD4cNzCgLOzAxKvus,spotify:track:1eDK4TD4cNzCgLOzAxKvus,61,José José,0.547,0.414,0.359,0.528,2.02e-05,126.737,-10.489,0.0295,0.245,2
93,Keep It Clean,https://open.spotify.com/embed/track/60M98E0CkJgJUApaHdgEaO,spotify:track:60M98E0CkJgJUApaHdgEaO,33,Willie Watson,0.662,0.173,0.588,0.819,0.00145,144.156,-13.431,0.0409,0.139,2
97,"Bach, JS: Flute Sonata in B Minor, BWV 1030: II. Largo e dolce",https://open.spotify.com/embed/track/2NDy2v4hRRtdAlwz4rpEcG,spotify:track:2NDy2v4hRRtdAlwz4rpEcG,34,Johann Sebastian Bach,0.251,0.0627,0.116,0.97,0.0355,131.874,-22.505,0.0421,0.0468,2
103,Key Largo,https://open.spotify.com/embed/track/4G14XbZpRGNcMTpxwRHrB2,spotify:track:4G14XbZpRGNcMTpxwRHrB2,32,Bertie Higgins,0.556,0.522,0.322,0.71,0.0,101.737,-9.016,0.0358,0.126,2
110,Elenore,https://open.spotify.com/embed/track/5duIvffaGWg0bJAT9czEuZ,spotify:track:5duIvffaGWg0bJAT9czEuZ,54,Sultan + Shepard,0.588,0.718,0.157,0.824,0.336,121.964,-7.925,0.035,0.092,2
111,Awari,https://open.spotify.com/embed/track/7IEww1rwWe1scos6rarOYh,spotify:track:7IEww1rwWe1scos6rarOYh,57,Adnan Dhool,0.322,0.515,0.16,0.668,5.01e-06,149.912,-6.908,0.0341,0.0907,2
115,"Hold On (From ""Dear Edward"")",https://open.spotify.com/embed/track/39YmS0tsTXHloxBgU3sYf9,spotify:track:39YmS0tsTXHloxBgU3sYf9,57,Lizzy McAlpine,0.446,0.279,0.319,0.855,0.000158,86.252,-10.719,0.0326,0.0674,2
116,Kadhal Kavithaigal,https://open.spotify.com/embed/track/2VNsIpwEBYJ1feER0uo19d,spotify:track:2VNsIpwEBYJ1feER0uo19d,47,S. P. Balasubrahmanyam,0.766,0.381,0.824,0.856,5.67e-05,90.944,-10.769,0.0407,0.086,2
119,Warned You,https://open.spotify.com/embed/track/3GahMRXI3rL2JVeSLZBRnF,spotify:track:3GahMRXI3rL2JVeSLZBRnF,66,Good Morning,0.535,0.209,0.515,0.668,0.14,137.889,-16.402,0.0257,0.129,2
120,That's All,https://open.spotify.com/embed/track/53VuyKap8WiDjkrtm5d4h3,spotify:track:53VuyKap8WiDjkrtm5d4h3,54,Ben Webster,0.483,0.126,0.388,0.888,0.000135,79.656,-13.156,0.0583,0.112,2
124,Ham Hain Rahi Pyar Ke,https://open.spotify.com/embed/track/21KLl43JhFp0UPZSssfm3E,spotify:track:21KLl43JhFp0UPZSssfm3E,23,Kishore Kumar,0.437,0.338,0.74,0.964,0.00706,109.009,-10.077,0.0435,0.47,2
131,Mystery,https://open.spotify.com/embed/track/5osOZa0RijrAylQbDyjq2C,spotify:track:5osOZa0RijrAylQbDyjq2C,25,Otis Ubaka,0.526,0.498,0.427,0.508,0.00227,78.901,-7.738,0.0361,0.2,2
135,Yahova Na Mora,https://open.spotify.com/embed/track/103vRJkxnF7QKrexgHNUxL,spotify:track:103vRJkxnF7QKrexgHNUxL,35,Sudha & Revathi,0.667,0.467,0.423,0.5,0.00013,93.985,-8.11,0.0263,0.112,2
