,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
11,Tomorrow,https://open.spotify.com/embed/track/3996YRxnFIXGceavIrBmOS,spotify:track:3996YRxnFIXGceavIrBmOS,39,Ely Ève,0.172,0.0416,0.0709,0.986,0.951,202.35,-26.046,0.0397,0.912,4
20,I Wanna Be Yours,https://open.spotify.com/embed/track/6huxjr8XKFnhtXQD02LIJ7,spotify:track:6huxjr8XKFnhtXQD02LIJ7,53,Trevor Potts,0.717,0.0993,0.258,0.973,0.868,115.47,-16.559,0.0769,0.122,4
25,Limitless Romance,https://open.spotify.com/embed/track/7H6q2iavCpGfPM7anKkmLl,spotify:track:7H6q2iavCpGfPM7anKkmLl,36,Oilix,0.73,0.31,0.517,0.903,0.882,79.988,-13.513,0.0928,0.107,4
26,Days before,https://open.spotify.com/embed/track/0Yr84Z0J8XdIFgef0Gm4wC,spotify:track:0Yr84Z0J8XdIFgef0Gm4wC,52,Dino P,0.543,0.0902,0.205,0.975,0.829,69.995,-20.406,0.04,0.104,4
28,Stream Of Somnolence,https://open.spotify.com/embed/track/2J3PRFCSCcuyHY4Dfi4hbh,spotify:track:2J3PRFCSCcuyHY4Dfi4hbh,60,Maurie,0.0659,0.00749,0.0496,0.986,0.777,69.792,-36.396,0.0487,0.111,4
33,"Lakmé / Act 1: ""Sous le dôme épais"" (Flower Duet)",https://open.spotify.com/embed/track/2YWM7FYspCbkM6xfo1v6gO,spotify:track:2YWM7FYspCbkM6xfo1v6gO,42,Léo Delibes,0.0949,0.179,0.0387,0.973,0.887,71.4,-16.972,0.0432,0.111,4
42,Best Part (Piano Arrangement),https://open.spotify.com/embed/track/16S49G9Wdj9SUB292NCyIK,spotify:track:16S49G9Wdj9SUB292NCyIK,19,The Theorist,0.425,0.342,0.109,0.988,0.971,151.727,-13.219,0.0591,0.0852,4
43,Harry's Wondrous World,https://open.spotify.com/embed/track/4lg0h4AJhPMxbO3VMpbUqS,spotify:track:4lg0h4AJhPMxbO3VMpbUqS,57,John Williams,0.227,0.264,0.228,0.881,0.9,84.986,-14.905,0.0325,0.114,4
44,Hüttengriffe,https://open.spotify.com/embed/track/15pJPbo0r00e82puUIUS1i,spotify:track:15pJPbo0r00e82puUIUS1i,40,Wolfgang Muthspiel,0.548,0.0147,0.117,0.943,0.893,115.208,-30.411,0.0704,0.141,4
56,The North Wind - Daigo Hanada Re-work,https://open.spotify.com/embed/track/3oM82Zz63KrnYQ0ZaTTQ9l,spotify:track:3oM82Zz63KrnYQ0ZaTTQ9l,54,Jim Perkins,0.181,0.0102,0.0315,0.964,0.95,137.152,-31.629,0.0377,0.106,4
57,The Dawning Light (432 Hz),https://open.spotify.com/embed/track/0yLqRW4BTlwg7GWBAYH2mJ,spotify:track:0yLqRW4BTlwg7GWBAYH2mJ,37,In Finitum,0.143,0.0228,0.0329,0.872,0.969,139.923,-26.109,0.0441,0.103,4
58,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1",https://open.spotify.com/embed/track/00CXUMREit80f2McJsjcIz,spotify:track:00CXUMREit80f2McJsjcIz,57,Felix Mendelssohn,0.355,0.0164,0.0922,0.995,0.926,67.946,-28.659,0.0396,0.0986,4
61,Denzil's Best,https://open.spotify.com/embed/track/6IuiRJsGQ1pCqyGwc9lBgi,spotify:track:6IuiRJsGQ1pCqyGwc9lBgi,33,Tommy Flanagan,0.437,0.269,0.654,0.701,0.88,148.758,-17.907,0.0356,0.0788,4
62,Senses,https://open.spotify.com/embed/track/4tfB8WaLBx48Yp16TNbQkn,spotify:track:4tfB8WaLBx48Yp16TNbQkn,46,Hema,0.133,0.00458,0.0741,0.98,0.977,75.724,-33.0,0.0468,0.141,4
64,Ultraviolet Dream,https://open.spotify.com/embed/track/2RvWqqueP3Qfwqn0s3dWCI,spotify:track:2RvWqqueP3Qfwqn0s3dWCI,62,Pax Magnolia,0.163,0.00228,0.0376,0.992,0.8,71.013,-37.625,0.051,0.166,4
66,Gat Drut,https://open.spotify.com/embed/track/1tNhPY0R3XT6ShwSgpwZJX,spotify:track:1tNhPY0R3XT6ShwSgpwZJX,18,Shivkumar Sharma,0.43,0.47,0.377,0.741,0.668,172.522,-12.624,0.0334,0.14,4
75,Passing By,https://open.spotify.com/embed/track/2FlD1WyrE1iNdflUvXAQoj,spotify:track:2FlD1WyrE1iNdflUvXAQoj,33,Sulfur Springs,0.43,0.172,0.0369,0.922,0.887,64.043,-20.65,0.0354,0.0955,4
76,"Variations on a Theme by Robert Schumann in F-Sharp Minor, Op. 9: Variation XV. Poco adagio",https://open.spotify.com/embed/track/5uVnD9G9ptDPfbVnVi1pja,spotify:track:5uVnD9G9ptDPfbVnVi1pja,8,Johannes Brahms,0.293,0.0129,0.158,0.995,0.901,65.838,-31.434,0.0359,0.12,4
85,Connect with Your Soul,https://open.spotify.com/embed/track/4bV2KhDgzfehStxbfJV9mJ,spotify:track:4bV2KhDgzfehStxbfJV9mJ,38,Jasmine Soft,0.149,0.0166,0.0345,0.894,0.906,70.247,-26.635,0.0488,0.121,4
102,River Styx,https://open.spotify.com/embed/track/0X0SbHR8uwKq0cW5zrdiCU,spotify:track:0X0SbHR8uwKq0cW5zrdiCU,39,Walter Smith III,0.501,0.438,0.382,0.826,0.948,108.641,-11.787,0.0308,0.0984,4
108,All Through the Night,https://open.spotify.com/embed/track/3XIbyKZYaKgmE4Y3gdo7d3,spotify:track:3XIbyKZYaKgmE4Y3gdo7d3,53,Roly-Poly,0.805,0.0618,0.488,0.994,0.872,76.349,-16.322,0.138,0.111,4
109,White Christmas - Piano,https://open.spotify.com/embed/track/608LZ7i8QlzDGm6PCzQpN7,spotify:track:608LZ7i8QlzDGm6PCzQpN7,35,our distant worlds,0.44,0.0147,0.302,0.993,0.941,95.357,-25.818,0.0419,0.0969,4
112,Nivram,https://open.spotify.com/embed/track/3oBd5LyXu64UGeZd5jOh5m,spotify:track:3oBd5LyXu64UGeZd5jOh5m,39,Alma Sinti,0.783,0.334,0.588,0.893,0.831,129.026,-8.169,0.066,0.112,4
117,SUGAR COFFEE,https://open.spotify.com/embed/track/5yej6CeDAxkocWeaXI2NBb,spotify:track:5yej6CeDAxkocWeaXI2NBb,13,Jay Kim,0.795,0.0885,0.395,0.977,0.847,119.955,-19.681,0.157,0.153,4
127,I Still Haven't Found What I'm Looking For,https://open.spotify.com/embed/track/3URt3hJlLJEJFwBNBIyOGY,spotify:track:3URt3hJlLJEJFwBNBIyOGY,46,Tom Rogers Band,0.63,0.286,0.705,0.923,0.953,96.697,-15.023,0.043,0.0948,4
145,Feathers,https://open.spotify.com/embed/track/5zafrD1Ovmh2XiuoX3IuUa,spotify:track:5zafrD1Ovmh2XiuoX3IuUa,64,Aiyden,0.13,0.00934,0.0361,0.963,0.905,71.059,-36.891,0.0378,0.0863,4
146,"Bach, JS: Well-Tempered Clavier, Book 2, Prelude and Fugue No. 9 in E Major, BWV 878: I. Prelude",https://open.spotify.com/embed/track/6ElyS5Mbg0C6bUe1814pBC,spotify:track:6ElyS5Mbg0C6bUe1814pBC,38,Johann Sebastian Bach,0.206,0.0279,0.354,0.995,0.915,139.792,-34.771,0.0413,0.0698,4
148,In a Sentimental Mood,https://open.spotify.com/embed/track/7hqUrALWgNQzuqyZGGitUI,spotify:track:7hqUrALWgNQzuqyZGGitUI,47,The Jazz Seekers,0.578,0.0366,0.183,0.918,0.371,106.928,-21.376,0.039,0.109,4
149,Stay With Me,https://open.spotify.com/embed/track/488afZ4YrlW3fh00NhLSWc,spotify:track:488afZ4YrlW3fh00NhLSWc,29,Joseph Trapanese,0.0981,0.0151,0.0299,0.882,0.887,88.556,-28.927,0.0443,0.0941,4
151,Solicitude,https://open.spotify.com/embed/track/3RlM2UQzdojpM6BzCyY37v,spotify:track:3RlM2UQzdojpM6BzCyY37v,35,Garden of Sound,0.114,0.0699,0.0395,0.628,0.935,68.926,-25.035,0.0476,0.109,4
160,Self-Service Laundry,https://open.spotify.com/embed/track/2F3lFJtwn2a7VaEasMW5fp,spotify:track:2F3lFJtwn2a7VaEasMW5fp,41,Tim Linghaus,0.31,0.0115,0.112,0.987,0.969,85.341,-25.071,0.0426,0.112,4
163,All Gone (Ephemeral),https://open.spotify.com/embed/track/2BLxu6HN5qZUB5M25zNvRm,spotify:track:2BLxu6HN5qZUB5M25zNvRm,38,Gustavo Santaolalla,0.201,0.0195,0.0657,0.941,0.914,99.584,-28.102,0.0456,0.156,4
174,The Scent Of New Days,https://open.spotify.com/embed/track/5w0kPzgsa5bnD8yEYagRUT,spotify:track:5w0kPzgsa5bnD8yEYagRUT,51,Comet Blue,0.179,0.177,0.242,0.988,0.878,129.086,-30.81,0.0377,0.0977,4
188,Enhanced Forest,https://open.spotify.com/embed/track/4LNHbuE2OgsQeVu0j0q0sO,spotify:track:4LNHbuE2OgsQeVu0j0q0sO,39,Nity Nite,0.287,0.0886,0.219,0.877,0.832,100.076,-26.54,0.0328,0.1,4
189,Maybe Tomorrow,https://open.spotify.com/embed/track/0EdYLCHThvtSmze7iEqlEN,spotify:track:0EdYLCHThvtSmze7iEqlEN,43,Grant Green,0.52,0.165,0.115,0.958,0.904,113.999,-15.827,0.0429,0.226,4
190,Sleep My Little Baby,https://open.spotify.com/embed/track/3h8RjQkEJW4BcJg6d3ORyo,spotify:track:3h8RjQkEJW4BcJg6d3ORyo,50,Cest Le Mieux,0.606,0.0965,0.545,0.977,0.942,144.095,-24.171,0.144,0.112,4
208,whale tale,https://open.spotify.com/embed/track/6B7wBkh0TOpn8MPWYLRO3z,spotify:track:6B7wBkh0TOpn8MPWYLRO3z,37,Edwinn,0.784,0.254,0.419,0.944,0.585,84.013,-11.363,0.363,0.242,4
216,Walking in the Air - Piano Solo,https://open.spotify.com/embed/track/6hFwNd3XEQp56paHH8GD5g,spotify:track:6hFwNd3XEQp56paHH8GD5g,33,Howard David Blake,0.208,0.0869,0.113,0.98,0.952,181.672,-27.669,0.0601,0.0838,4
224,Dreaming Of A Better Place,https://open.spotify.com/embed/track/72QkLvjQpIhPrmmaR4KjjY,spotify:track:72QkLvjQpIhPrmmaR4KjjY,40,Liam Mour,0.193,0.158,0.112,0.893,0.925,143.323,-13.805,0.0328,0.0578,4
225,No Quarter - Remaster,https://open.spotify.com/embed/track/0GRBFjza23Im7Xb16c9AaK,spotify:track:0GRBFjza23Im7Xb16c9AaK,57,Led Zeppelin,0.33,0.342,0.0795,0.734,0.671,142.95,-14.09,0.0404,0.129,4
233,Janjon Ba,https://open.spotify.com/embed/track/3rAhg86PRxOc8SN0nQfiQT,spotify:track:3rAhg86PRxOc8SN0nQfiQT,25,Kadialy Kouyate,0.634,0.218,0.141,0.977,0.904,140.222,-11.347,0.0432,0.0883,4
237,Clear Path,https://open.spotify.com/embed/track/2tCmr9BYhSjQilIomSM8EI,spotify:track:2tCmr9BYhSjQilIomSM8EI,59,William Francisco,0.11,0.0344,0.105,0.954,0.634,74.182,-32.189,0.0515,0.0984,4
238,Drive-Through Dinner,https://open.spotify.com/embed/track/6xUyKTOx2LBGTlWz6Ndlvs,spotify:track:6xUyKTOx2LBGTlWz6Ndlvs,37,Magnus Ringblom,0.556,0.235,0.608,0.843,0.934,157.481,-16.144,0.0272,0.0996,4
239,Hidden,https://open.spotify.com/embed/track/3phR4mqdFYMEhv2EMTrq2d,spotify:track:3phR4mqdFYMEhv2EMTrq2d,46,Luna Grove,0.72,0.0526,0.233,0.969,0.934,151.836,-16.753,0.113,0.111,4
244,It Was Me,https://open.spotify.com/embed/track/1dXkb82FYi7xwtA0gb3lcJ,spotify:track:1dXkb82FYi7xwtA0gb3lcJ,42,Germaine Franco,0.217,0.0754,0.201,0.901,0.914,142.026,-16.629,0.0327,0.135,4
249,Imani,https://open.spotify.com/embed/track/7gmBN587F9l6jUfcXnqGuq,spotify:track:7gmBN587F9l6jUfcXnqGuq,48,E-SWERVE,0.458,0.27,0.201,0.948,0.958,81.723,-13.611,0.179,0.0762,4
251,Raiders March,https://open.spotify.com/embed/track/5duZVZ4m1TaJDTCbeHG8TG,spotify:track:5duZVZ4m1TaJDTCbeHG8TG,53,John Williams,0.422,0.351,0.168,0.73,0.904,132.317,-13.002,0.0352,0.0784,4
